journal	issn	url
Proyecto, Progreso, Arquitectura (Sevilla)	2171-6897	
Quaderns d'arquitectura i urbanisme	1886-1989	
Rassegna di architettura e urbanistica	0392-8608	
RDA (Argentina)	2313-9633	
REIA (Revista Europea de Investigacion en arquitecture)	2340-9851	
Restauracion & rehabilitacion: R & R (Spain)	1134-4571	
Revista do Patrimonio Historico e Artistico Nacional	0102-2751	
Revista proyecto, progreso, arquitectura (Spain)	2171-6897	
Rivista dell'Istituto per la storia dell'arte lombarda	2039-4187	
		
SAC journal	2198-3216	
SaveWright	no ISSN	
scape	1389-742X	
Serbian architectural journal: SAJ	1821-3952	
Shi dai jian zhu = Time + architecture	1005-684X	
Shi jie jian zhu = World Architecture (China)	1002-4832	
Space (Korea)	1228-2472	
Spade India	no ISSN	
Spandrel: journal of SPA  (Bhopal, India)	2231-4601	
Storia urbana	0327-9022	
Summa+	0327-9022	
Tekton	2349-6282	
Texas architect	0040-4179	
Tile heritage	1078-5655	
Topos: the international review of landscape architecture and	0942-752X	
Trace (Chile)	0718-7710	
Traditional dwellings and settlements review	1050-5092	
Transactions of the Ancient Monuments Society	0951-001X	
True Principles: The journal of the Pugin Society		
Twentyfirst  (Denmark)	2246-1612	
Versalia	1285-8412	
Vestnik of Tomsk State University of Architecture…	1607-1859	
Vieilles maisons francaises	no ISSN	
Visiteur	1265-7034	
Volume	1574-9401	
Wallpaper	1364-4475	
Western planner (US)	0279-0602	
World heritage	1020-4202	
Wright angles	1059-4396	
Xia international	0949-2356	
Zarch	2387-0346	
Architect [Netherlands]		
Archis		
Canadian building		
Volume		
