journal	issn	url
Architecture + design (India)	0970-2369	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS12175258&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0970-2369&offset=0&journals=any,0970-2369
Architecture Australia	0003-8725	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS223324509&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0003-8725&offset=0&journals=any,0003-8725
Architecture Boston	1099-6346	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS39178110&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&isFrbr=true&tab=jsearch_slot&query=any,contains,1099-6346&offset=0&journals=any,1099-6346
Architecture d'aujourd'hui	0003-8695	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21243018370003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0003-8695&offset=0&journals=any,0003-8695
Architecture_MPS (Media Politics Society)	2050-9006	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS836888007&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2050-9006&offset=0&journals=any,2050-9006
Architecture of Israel	0792-1268	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS20347816&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0792-1268&offset=0&journals=any,0792-1268
Archivos de arquitectura antillana	1028-3072	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS657834225&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1028-3072&offset=0&journals=any,1028-3072
Archnet - IJAR: International journal of architectural research	1994-6961	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS145980807&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1994-6961&offset=0&journals=any,1994-6961
Arkitektur: the Swedish review of architecture	0004-2021	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS570324067&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0004-2021&offset=0&journals=any,0004-2021
ARQ (Chile)	0716-0852	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS506495715&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,ARQ%20(Chile)&offset=0&journals=any,ARQ%20(Chile)
