journal	issn	url
Journal of architectural conservation	1355-6207	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS609716315&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1355-6207&offset=0&journals=any,1355-6207
Journal of architectural education: JAE	1046-4883	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,1046-4883&tab=jsearch_slot&vid=UCSB&offset=0&journals=any,1046-4883
Journal of architecture (RIBA)	1360-2365	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21162309590003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1046-4883&offset=0&journals=any,1360-2365
Jian zhu xue bao=Journal of architecture (Taipei)	1016-3212	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS24231333&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1016-3212&offset=0&journals=any,1016-3212
Journal of daylighting	2383-8701	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS914216388&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2383-8701&offset=0&journals=any,2383-8701
Journal of landscape architecture: JoLA (Netherlands)	1862-6033	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,1862-6033&tab=jsearch_slot&vid=UCSB&offset=0&journals=any,1862-6033
Journal of the American Institute for Conservation	0197-1360	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21230033340003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0197-1360&offset=0&journals=any,0197-1360
Journal of the Society for the Study of Architecture in Canada	1486-0872	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS759374618&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1486-0872&offset=0&journals=any,1486-0872
Journal of the Society of Architectural Historians	0037-9808	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21183223370003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0037-9808&offset=0&journals=any,0037-9808
Journal of the Warburg and Courtauld Institutes	0075-4390	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0075-4390&tab=jsearch_slot&sortby=date&vid=UCSB&facet=frbrgroupid,include,153875561&offset=0&journals=any,0075-4390
Landscape architecture Australia	1833-4814	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS989013116&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1833-4814&offset=0&journals=any,1833-4814
Landscape architecture magazine	0023-8031	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21163706550003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0023-8031&offset=0&journals=any,0023-8031
Landscape review	2253-1440	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS402811848&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2253-1440&offset=0&journals=any,2253-1440
Landscapes / Paysages	1492-9600	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS398233046&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1492-9600&offset=0&journals=any,1492-9600
Livraisons d’histoire de l’architecture	1627-4970	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS50501836&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,Livraisons%20d%E2%80%99histoire%20de%20l%E2%80%99architecture&offset=0&journals=any,Livraisons%20d%E2%80%99histoire%20de%20l%E2%80%99architecture
Log	1547-4690	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS608244641&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1547-4690&offset=0&journals=any,1547-4690
London journal	0305-8034	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS4300546&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0305-8034&offset=0&journals=any,0305-8034
Lotus international	1124-9064	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21241834210003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,Lotus%20international&offset=0&journals=any,Lotus%20international
Macramé	1971-6230	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS405747086&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1971-6230&offset=0&journals=any,1971-6230
Magazine antiques	0161-9284	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0161-9284&tab=jsearch_slot&vid=UCSB&offset=0&journals=any,0161-9284
Marquee	0025-3928	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21332641710003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0025-3928&offset=0&journals=any,0025-3928
Megaron (Turkey)	1309-6915	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS653458028&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1309-6915&offset=0&journals=any,1309-6915
Memoirs of the American Academy in Rome	0065-6801	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS263448427&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0065-6801&offset=0&journals=any,0065-6801
Middle East Technical University. Journal	0258-5316	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0258-5316&tab=jsearch_slot&vid=UCSB&offset=0&journals=any,0258-5316
Mimarlik  (Turkey)	1300-4212	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS458296057&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1300-4212&offset=0&journals=any,1300-4212
Multi: The RIT journal of plurality…	1942-3527	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS227036028&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1942-3527&offset=0&journals=any,1942-3527
Muqarnas	0732-2992	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0732-2992&tab=jsearch_slot&vid=UCSB&offset=0&journals=any,0732-2992
Nexus network journal	1590-5896	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS40194482&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1590-5896&offset=0&journals=any,1590-5896
October	0162-2870	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS47273509&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0162-2870&offset=0&journals=any,0162-2870
On the W@terfront	1139-7365	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS823698017&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1139-7365&offset=0&journals=any,1139-7365
On-site	no issn	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21246950810003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,On-site&offset=0&journals=any,On-site
Palimpsesto	2014-1505	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS878192917&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2014-1505&offset=0&journals=any,2014-1505
Palladio	0031-0379	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21198095940003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0031-0379&offset=0&journals=any,0031-0379
Perspecta	0079-0958	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0079-0958&tab=jsearch_slot&vid=UCSB&offset=0&journals=any,0079-0958
Piranesi	1318-007X	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21253801210003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,Piranesi&offset=0&journals=any,Piranesi
Plan Canada	0032-0544	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21188947630003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0032-0544&offset=0&journals=any,0032-0544
PLAN Journal : research in architecture and urbanism	no ISSN	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS969773600&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,PLAN%20Journal%20:%20research%20in%20architecture%20and%20urbanism&offset=0&journals=any,PLAN%20Journal%20:%20research%20in%20architecture%20and%20urbanism
Planning (American Planning Association)	0001-2610	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,Planning%20(American%20Planning%20Association)&tab=jsearch_slot&sortby=date&vid=UCSB&facet=frbrgroupid,include,1070819522&offset=0&journals=any,Planning%20(American%20Planning%20Association)
Planning perspectives:  PP	0266-5433	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21235114080003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0266-5433&offset=0&journals=any,0266-5433
Preservation: the magazine of the National Trust for Historic	1090-9931	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21225393150003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1090-9931&offset=0&journals=any,1090-9931
RACAR: revue d'art canadienne.  Canadian art review	0315-9906	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS741482961&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0315-9906&offset=0&journals=any,0315-9906
Revista de arquitectura (Chile)	0716-8772	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS26019142&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0716-8772&offset=0&journals=any,0716-8772
Revista indexada de textos…	2340-9711	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS904028451&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2340-9711&offset=0&journals=any,2340-9711
RIBA journal	1463-9505	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,1463-9505&tab=jsearch_slot&vid=UCSB&offset=0&journals=any,1463-9505
Rita_ revista indexada de textos académicps	2340-9711	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS904028451&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2340-9711&offset=0&journals=any,2340-9711
Ri-vista: Ricerche per la Progettazione del Paesaggio	1724-6768	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS243566523&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1724-6768&offset=0&journals=any,1724-6768
SAH News	0049-1195	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21182909090003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0049-1195&offset=0&journals=any,0049-1195
San Rocco	2038-4912	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS967618172&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2038-4912&offset=0&journals=any,2038-4912
SOM journal	no ISSN	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21180184660003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,SOM%20journal&offset=0&journals=any,SOM%20journal
Spatium	1450-69X	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS701805969&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,Spatium&offset=0&journals=any,Spatium
Studies in the history of gardens and designed landscapes	1460-1176	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS61314013&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,Studies%20in%20the%20history%20of%20gardens%20and%20designed%20landscapes&offset=0&journals=any,Studies%20in%20the%20history%20of%20gardens%20and%20designed%20landscapes
Techne	2239-0243	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS805895073&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2239-0243&offset=0&journals=any,2239-0243
TeMA: journal of land use…	1970-9870	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS405962491&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1970-9870&offset=0&journals=any,1970-9870
Territorios en Formación	2174-8659	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS827174554&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2174-8659&offset=0&journals=any,2174-8659
Thresholds	1091-711X	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS606242963&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1091-711X&offset=0&journals=any,1091-711X
Town planning and architecture	1648-3537	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS607517178&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1648-3537&offset=0&journals=any,1648-3537
Twentieth century architecture	1353-1964	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS502284025&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1353-1964&offset=0&journals=any,1353-1964
Umeni = The Art	0049-5123	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS566119245&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0049-5123&offset=0&journals=any,0049-5123
Urban Land	0042-0891	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21191209620003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0042-0891&offset=0&journals=any,0042-0891
Urbani izziv	1855-8399	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS780081000&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1855-8399&offset=0&journals=any,1855-8399
Urbano	0718-3607	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS244483171&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0718-3607&offset=0&journals=any,0718-3607
Vernacular architecture	0305-5477	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS619384401&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0305-5477&offset=0&journals=any,0305-5477
Vestnik Volgogradskogo…Stroitelstvo I Arhitektura	2078-1954	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS701805718&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2078-1954&offset=0&journals=any,2078-1954
Virtual archaeology review	1989-9947	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS762030601&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1989-9947&offset=0&journals=any,1989-9947
VLC arquitectura	2341-2747	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS905958384&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2341-2747&offset=0&journals=any,2341-2747
Werk Bauen + Wohnen	0257-9332	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS6301281&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0257-9332&offset=0&journals=any,0257-9332
West 86th (US)	2153-5531	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,2153-5531&tab=jsearch_slot&vid=UCSB&lang=en_US&offset=0&journals=any,2153-5531
Winterthur portfolio	0084-0416	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21191186770003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0084-0416&offset=0&journals=any,0084-0416
World of interiors	0264-083X	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21184857850003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0264-083X&offset=0&journals=any,0264-083X
Zeitschrift fur Kunstgeschichte	0044-2992	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0044-2992&tab=jsearch_slot&vid=UCSB&lang=en_US&offset=0&journals=any,0044-2992
A & V		https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21214710210003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,A%20&%20V&%20V&offset=0&journals=any,A%20
Access by Design		https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS502282636&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,Access%20by%20design&offset=0&journals=any,Access%20by%20design",
California arts and architecture		https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21177524200003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,California%20arts%20and%20architecture&offset=0&journals=any,California%20arts%20and%20architecture
Architettura	0003-8830	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0003-8830&tab=jsearch_slot&vid=UCSB&lang=en_US&offset=0&journals=any,0003-8830
Ottagono		https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0003-8830&tab=jsearch_slot&vid=UCSB&lang=en_US&offset=0&journals=any,Ottagono
Building design		https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS60619270&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0007-3423&offset=0&journals=any,0007-3423
Inland architect		https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS565102571&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0003-8830&offset=0&journals=any,Inland%20architect
Architectural design		https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0003-8504&tab=jsearch_slot&vid=UCSB&lang=en_US&offset=0&journals=any,0003-8504
Planning		https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0001-2610&tab=jsearch_slot&vid=UCSB&lang=en_US&offset=0&journals=any,0001-2610
Architektur, Innenarchitektur, Technischer Ausbau		https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21201053520003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0003-8830&offset=0&journals=any,Architektur,%20Innenarchitektur,%20Technischer%20Ausbau
